"fl","year","stock","stock_aggregate","fw_age","ocean_age"
58,2021,"LYON'S_FERRY","Up Col.","0","2"
60,2021,"SOOS_CREEK","Puget Sound","0","2"
73,2021,"CHILLIWACK_RIVER_fall","Fraser Fall","0","2"
58,2021,"ABERNATHY_RIVER","Low Col.","0","2"
58,2021,"ABERNATHY_RIVER","Low Col.","0","2"
87,2021,"SKYKOMISH_RIVER","Puget Sound","0","4"
73,2021,"ABERNATHY_RIVER","Low Col.","0","3"
80,2021,"BATTLE_CREEK","Cali","0","3"
64,2021,"ABERNATHY_RIVER","Low Col.","0","2"
58,2021,"ABERNATHY_RIVER","Low Col.","0","2"
73,2021,"SOOS_CREEK","Puget Sound","0","4"
76,2021,"CLACKAMAS_RIVER","Low Col.","0","3"
64,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"ABERNATHY_RIVER","Low Col.","0","2"
73,2021,"ABERNATHY_RIVER","Low Col.","0","3"
66,2021,"GREEN_RIVER","Puget Sound","0","2"
81,2021,"SKYKOMISH_RIVER","Puget Sound","0","3"
64,2021,"SOOS_CREEK","Puget Sound","0","2"
58,2021,"ABERNATHY_RIVER","Low Col.","0","2"
67,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
66,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
82,2021,"WENATCHEE_RIVER","Up Col.","0","3"
52,2021,"SOOS_CREEK","Puget Sound","0","2"
52,2021,"SOOS_CREEK","Puget Sound","0","2"
52,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","2"
61,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
67,2021,"SHUSWAP_RIVER-LOWER","Fraser 4.1","0","2"
63,2021,"SOOS_CREEK","Puget Sound","0","2"
60,2021,"ABERNATHY_RIVER","Low Col.","0","2"
62,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
64,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
72,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","3"
75,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","3"
64,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","3"
72,2021,"COWEEMAN","Low Col.","0","3"
81,2021,"HANFORD_REACH","Up Col.","0","3"
47,2021,"COWICHAN_RIVER","ECVI","0","2"
50,2021,"QUALICUM_RIVER","ECVI","0","2"
54,2021,"SOOS_CREEK","Puget Sound","0","2"
53,2021,"YUBA_RIVER_FALL","Cali","0","2"
54,2021,"SOOS_CREEK","Puget Sound","0","2"
69,2021,"LYON'S_FERRY","Up Col.","0","3"
50,2021,"SOOS_CREEK","Puget Sound","0","2"
67,2021,"QUALICUM_RIVER","ECVI","0","2"
62,2021,"ABERNATHY_RIVER","Low Col.","0","2"
66,2021,"ABERNATHY_RIVER","Low Col.","0","2"
62,2021,"SOOS_CREEK","Puget Sound","0","3"
63,2021,"SOOS_CREEK","Puget Sound","0","2"
66,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
50,2021,"SOOS_CREEK","Puget Sound","0","2"
58,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
64,2021,"SOOS_CREEK","Puget Sound","0","2"
63,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
57,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"ABERNATHY_RIVER","Low Col.","0","2"
57,2021,"SOOS_CREEK","Puget Sound","0","2"
55,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
50,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
64,2021,"SOOS_CREEK","Puget Sound","0","2"
63,2021,"SOOS_CREEK","Puget Sound","0","2"
72,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
56,2021,"SOOS_CREEK","Puget Sound","0","2"
66,2021,"SOOS_CREEK","Puget Sound","0","2"
80,2021,"ABERNATHY_RIVER","Low Col.","0","3"
55,2021,"COWICHAN_RIVER","ECVI","0","2"
68,2021,"ABERNATHY_RIVER","Low Col.","0","2"
79,2021,"SNOHOMISH_RIVER","Puget Sound","1","2"
59,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
63,2021,"CHILLIWACK_RIVER_fall","Fraser Fall","0","2"
56,2021,"SOOS_CREEK","Puget Sound","0","2"
76,2021,"FEATHER_RIVER_FALL","Cali","0","3"
77,2021,"HARRISON_RIVER","Fraser Fall","0","3"
